customer_id,market,age,tenure_months,device_price_usd,deposit_paid_usd,loan_amount_usd,monthly_income_proxy,data_usage_gb,mobile_money_txn_count,days_past_due,repayment_status,risk_segment
68c5bd8e-2984-4687-81d7-fe3546f9fb73,Lesotho,48,88,492,226,266,145,46.51,25,25,Current,Low
2f85c23c-9bae-4644-87c1-da11811217b6,Ethiopia,64,92,182,262,-80,214,35.86,16,0,Current,Low
c5dcc013-f256-4ffc-ab29-54a9c8b8f82c,Tanzania,21,89,485,247,238,1696,31.66,151,7,Current,Low
773f0216-765e-461b-b809-adfeb9f990b2,Mozambique,55,17,567,195,372,240,24.84,79,30,Current,Low
750fe2e1-072d-449e-9c2e-52c675bfe141,South Africa,48,100,1029,155,874,2727,37.59,44,0,Current,Low
902557b0-d53f-4e04-a168-9020e24979dc,Tanzania,41,89,337,218,119,2727,38.71,99,4,Current,Low
18406c07-24c3-4065-a1d0-a81bc6f658fe,DRC,43,5,615,252,363,1411,44.45,180,32,Late,Medium
a45bd184-e68d-4478-9f10-47af31ed082e,DRC,38,103,1112,266,846,1491,36.84,96,51,Late,Medium
fe3b8a12-dfbf-4e17-8905-0987a6d20eb4,Tanzania,56,62,1145,79,1066,1431,20.42,133,2,Current,Low
0ed0f39b-23d6-4a4d-aaa1-07b273d4c734,Tanzania,41,79,802,123,679,557,2.42,54,13,Current,Low
3892d6df-5253-4fde-9430-b43df5ac4831,South Africa,41,89,212,92,120,1094,39.85,18,28,Current,Low
88b996e6-8327-42b0-9b45-67b0b2f529bb,Tanzania,59,69,122,244,-122,135,49.22,150,30,Current,Low
0087123f-4633-48f9-b30a-bc462daefd76,Kenya,29,72,1032,299,733,2811,29.11,36,8,Current,Low
99e4a74b-6d20-45d0-8b85-b00f78fb53fb,Tanzania,25,41,625,192,433,2212,23.43,63,23,Current,Low
32271f87-6de7-4698-8aae-623699541c20,South Africa,20,21,123,230,-107,448,44.07,149,19,Current,Low
7b2e90b0-a804-4ac3-894a-752d7fd2e7d7,Egypt,35,47,1072,265,807,801,22.83,4,16,Current,Low
5b3c9de9-c703-4c13-aa83-a77dc9ff82c0,Ethiopia,29,112,941,276,665,613,49.68,191,22,Current,Low
8371cac2-a83e-483a-91a8-dd4d1412a9e8,Lesotho,61,9,125,80,45,548,18.66,168,0,Current,Low
0618e009-fd18-4a9c-9f2b-25d032a5b8dc,Egypt,64,66,1141,73,1068,1849,10.63,69,23,Current,Low
ba0a8f04-9b4a-44c9-9064-b68a880c359d,Mozambique,33,47,566,189,377,262,15.96,175,28,Current,Low
cd9200f6-a6ba-4e0e-9c41-d375c0cbb45f,Mozambique,57,64,917,101,816,1326,33.76,199,28,Current,Low
3272c252-18bf-4c43-b72a-a7d460b85174,South Africa,32,78,398,38,360,127,10.77,14,0,Current,Low
1113fd5e-f0b0-4ff9-b4df-b2d888d491e0,Egypt,28,46,906,135,771,690,49.4,84,0,Current,Low
b1f87c5e-da2c-4a8f-9039-08cf31a32d10,Ethiopia,24,40,1189,256,933,2429,47.2,200,0,Current,Low
7dc54980-7139-4260-b99f-2a9ef4b36dfb,Ethiopia,40,94,244,174,70,1478,47.69,4,0,Current,Low
e1027957-5ecd-44d8-9f9e-0990765ca33b,Ethiopia,61,40,122,161,-39,2789,26.99,123,39,Late,Medium
55acbaf3-9b2b-4287-97b4-c34c32b28f7a,Lesotho,35,95,1168,153,1015,1580,5.51,179,6,Current,Low
979d0022-dd5a-4ac4-a71c-1654a664f9cd,South Africa,28,19,609,281,328,1076,29.15,28,14,Current,Low
4e179e57-7e7b-49c3-a90a-0cd85b222ac2,Mozambique,19,104,350,8,342,2772,47.55,180,0,Current,Low
a7e7d9ba-ec1e-4421-bb12-a02f48e4adb2,Lesotho,44,4,906,262,644,477,1.91,136,33,Late,Medium
5761665d-c5f0-435d-bebd-363a1214ab9f,Egypt,22,117,191,294,-103,1769,20.33,150,38,Late,Medium
53b3f13c-8e64-42bc-a12b-3d700addd568,Egypt,28,107,474,173,301,1386,45.78,20,8,Current,Low
927a3c4e-e372-41c5-a699-e08918e707e9,Ethiopia,25,88,549,112,437,300,30.92,42,44,Late,Medium
68e7918e-e0fa-441b-ae28-a7f2f5542d4e,Kenya,24,111,564,56,508,342,19.33,64,0,Current,Low
b2e3978d-3a51-4398-83f6-c593ffc9d1a9,Tanzania,51,98,500,266,234,268,31.02,45,0,Current,Low
97ef86d4-5422-4f44-953b-9f2f9551b9b1,Mozambique,32,113,662,63,599,1622,27.04,118,8,Current,Low
c2baf650-25e0-4cd0-a97f-5abb48e324b9,Kenya,33,50,572,134,438,2951,47.36,39,0,Current,Low
e3a0f4ed-bb17-4e4f-bd37-d11df6cdaf99,Ethiopia,61,72,987,105,882,872,20.57,35,0,Current,Low
00286888-b423-4e32-96cf-01e6a50b13a9,Lesotho,42,24,123,21,102,1318,5.33,130,62,Default,High
70b5f117-9a49-4d57-8ca6-684133218ab7,Kenya,29,18,867,107,760,2028,17.17,95,0,Current,Low
6cf12d64-27c2-4a04-892f-b9cf41892f4e,Egypt,40,22,691,84,607,2617,29.35,63,0,Current,Low
50a8adc2-0dab-4cc1-93e4-52361b981c68,South Africa,60,64,840,295,545,2304,35.57,117,0,Current,Low
e3ecd657-4f9d-49f8-8e1b-d07e0e6569e5,Tanzania,38,97,846,283,563,581,8.59,61,0,Current,Low
c08c9e30-64ab-4546-8757-58cfb8c37306,Mozambique,29,34,1112,159,953,2204,6.82,152,26,Current,Low
bc7cf54c-4231-40b6-be5c-75b5ccf3d247,Tanzania,30,15,370,225,145,604,40.68,54,40,Late,Medium
