customer_id,market,age,tenure_months,device_price_usd,deposit_paid_usd,loan_amount_usd,monthly_income_proxy,data_usage_gb,mobile_money_txn_count,days_past_due,repayment_status,risk_segment,deposit_ratio,loan_to_income_ratio,high_risk_flag,default_flag
283d7213-24b5-4fd5-b3b4-d20cf61de42c,DRC,30,89,750,307,443,407,36.97,74,0,Current,Low,0.4093333333333333,1.0884520884520885,0,0
45418906-58ff-4435-a5cd-e703d2b83fdc,Egypt,44,73,349,5,344,2892,29.96,163,33,Late,Medium,0.014326647564469915,0.11894882434301521,0,0
0fb4caaa-b64e-4cb8-9df7-6d2fb2e1002b,DRC,26,87,337,156,181,611,24.85,185,0,Current,Low,0.4629080118694362,0.29623567921440264,0,0
dd45a68a-f3a0-4bcc-bf74-26c19feeb84e,Ethiopia,37,10,255,113,142,1210,9.25,117,52,Late,Medium,0.44313725490196076,0.11735537190082644,0,0
22b115f5-0c01-4d3c-bd53-cf1d07a07fd6,South Africa,18,37,459,148,311,1083,19.82,150,10,Current,Low,0.3224400871459695,0.2871652816251154,0,0
87226878-03b8-44fa-aa73-7f710afb4214,Lesotho,52,111,1078,175,903,2638,36.65,104,32,Late,Medium,0.16233766233766234,0.34230477634571643,0,0
731ceeae-c788-457a-a9e4-bb1b1adb7500,Mozambique,37,38,520,200,320,1529,42.18,38,0,Current,Low,0.38461538461538464,0.2092871157619359,0,0
54946a86-e194-4cea-a344-b5a43babb9fd,Ethiopia,54,103,71,29,42,2089,32.11,109,35,Late,Medium,0.4084507042253521,0.020105313547151747,0,0
78aeb8a3-1d25-4a88-b848-512831f5a64d,Egypt,31,88,1176,225,951,1693,18.58,111,0,Current,Low,0.1913265306122449,0.561724748966332,0,0
32c1ab40-6d87-45c9-858d-229f1f926d9f,Mozambique,45,120,313,150,163,1131,20.78,56,44,Late,Medium,0.4792332268370607,0.14412024756852343,0,0
8ea53ef7-3afd-4e9b-8acb-c00d3187a382,Kenya,44,96,387,165,222,2333,0.62,135,29,Current,Low,0.4263565891472868,0.09515645092156022,0,0
990fb0c0-e553-4943-be06-67ec47a17ce9,Egypt,60,117,175,9,166,982,26.51,183,29,Current,Low,0.05142857142857143,0.1690427698574338,0,0
a9d670af-c4e2-42cd-9f32-239560c54686,Kenya,54,81,477,22,455,2455,36.59,74,0,Current,Low,0.04612159329140461,0.18533604887983707,0,0
52e1db4c-0e83-4209-8f43-c18a6183a21d,Kenya,58,118,279,63,216,1099,39.54,114,10,Current,Low,0.22580645161290322,0.19654231119199272,0,0
1487bf4c-dff4-4d85-afc3-af631e557280,Mozambique,24,80,119,5,114,779,18.18,95,18,Current,Low,0.04201680672268908,0.14634146341463414,0,0
b6855765-fa4a-401d-b94a-1c406b765b93,South Africa,29,90,472,168,304,1614,19.63,117,22,Current,Low,0.3559322033898305,0.18835192069392812,0,0
f22a2f88-8d44-4368-89da-313bffc22c8e,Egypt,26,6,1134,399,735,765,13.83,34,1,Current,Low,0.35185185185185186,0.9607843137254902,0,0
f94362e5-c75e-4948-80b8-5113481ecaa8,Tanzania,54,99,846,361,485,577,32.92,64,3,Current,Low,0.42671394799054374,0.8405545927209706,0,0
c2c7a847-7735-45d9-b73e-5a420907b135,Ethiopia,33,55,329,117,212,2075,28.55,111,11,Current,Low,0.3556231003039514,0.10216867469879518,0,0
089c2924-bc1f-48b7-a873-6fdede34d959,Kenya,30,95,537,163,374,2426,44.65,89,35,Late,Medium,0.30353817504655495,0.15416323165704865,0,0
3f8ab5d6-7c5d-4d32-b89a-6b0b37ce3589,Lesotho,18,77,945,168,777,1213,42.74,75,4,Current,Low,0.17777777777777778,0.640560593569662,0,0
5a6e3c60-bbb2-4021-ad44-115c8ccecc96,Ethiopia,58,85,632,225,407,475,18.69,124,0,Current,Low,0.3560126582278481,0.8568421052631578,0,0
828e7460-b0d8-4369-95bf-4ce4ed4e1e91,Tanzania,64,55,503,43,460,1618,23.45,15,38,Late,Medium,0.08548707753479125,0.2843016069221261,0,0
c80ffc84-f496-4bb0-8957-0ecdca448830,Kenya,61,78,739,341,398,2480,49.83,72,42,Late,Medium,0.4614343707713126,0.16048387096774194,0,0
deebb5f7-bfa4-4547-9497-6c2817de2205,DRC,38,26,972,117,855,2229,16.81,170,5,Current,Low,0.12037037037037036,0.3835800807537012,0,0
d85d37ba-4239-4159-a07c-1b7d5e80a0e5,South Africa,29,24,1013,389,624,460,0.55,88,22,Current,Low,0.3840078973346496,1.3565217391304347,0,0
